DS_Tipos de Deficiência;REGIAO;Tipos de Deficiência;Acessibilidade;Região;Total Qtde Votos de Eleitores PcD;Acessibilidade;
Outros;Centro-Oeste;9115;5644;Centro-Oeste;286.407;5.644;280.763
Outros;Nordeste;46546;57479;Nordeste;277.896;57.479;220.417
Outros;Norte;19942;23428;Norte;231.632;23.428;208.204
Outros;Sudeste;48226;65434;Sudeste;213.398;65.434;147.964
Outros;Sul;15403;33388;Sul;165.488;33.388;132.100
PcD auditiva;Centro-Oeste;2168;5644;;;;0
PcD auditiva;Nordeste;8032;57479;;;;0
PcD auditiva;Norte;3614;23428;;;;0
PcD auditiva;Sudeste;10011;65434;;;;0
PcD auditiva;Sul;3486;33388;;;;0
PcD locomoção;Centro-Oeste;4892;5644;;;;0
PcD locomoção;Nordeste;19032;57479;;;;0
PcD locomoção;Norte;7686;23428;;;;0
PcD locomoção;Sudeste;32485;65434;;;;0
PcD locomoção;Sul;8064;33388;;;;0
PcD visual;Centro-Oeste;3498;5644;;;;0
PcD visual;Nordeste;13852;57479;;;;0
PcD visual;Norte;6643;23428;;;;0
PcD visual;Sudeste;17503;65434;;;;0
PcD visual;Sul;6023;33388;;;;0
Dificuldade para votar;Centro-Oeste;186;5644;;;;0
Dificuldade para votar;Nordeste;604;57479;;;;0
Dificuldade para votar;Norte;282;23428;;;;0
Dificuldade para votar;Sudeste;1708;65434;;;;0
Dificuldade para votar;Sul;316;33388;;;;0
