"Cluster","SG_UF","Qtd","Percent"
"1","PR",15553,"46.7%"
"1","RS",9712,"29.2%"
"1","SC",8027,"24.1%"
"2","SP",49483,"40.3%"
"2","MG",27074,"22.1%"
"2","RJ",18121,"14.8%"
"2","GO",5106,"4.2%"
"2","MT",4631,"3.8%"
"2","ES",4317,"3.5%"
"2","MS",2148,"1.7%"
"2","BA",1867,"1.5%"
"2","CE",1835,"1.5%"
"2","PE",1671,"1.4%"
"2","PA",1442,"1.2%"
"2","PB",832,"0.7%"
"2","RN",787,"0.6%"
"2","MA",611,"0.5%"
"2","TO",579,"0.5%"
"2","AL",503,"0.4%"
"2","SE",461,"0.4%"
"2","RO",426,"0.3%"
"2","PI",388,"0.3%"
"2","AM",262,"0.2%"
"2","AP",88,"0.1%"
"2","RR",62,"0.1%"
"2","AC",51,"0.0%"
"3","PA",17984,"13.5%"
"3","BA",16559,"12.4%"
"3","CE",14826,"11.1%"
"3","MA",13177,"9.9%"
"3","PE",10115,"7.6%"
"3","PB",6288,"4.7%"
"3","AM",5902,"4.4%"
"3","RN",5185,"3.9%"
"3","MG",5028,"3.8%"
"3","PI",4709,"3.5%"
"3","AL",4572,"3.4%"
"3","GO",4011,"3.0%"
"3","SE",3680,"2.8%"
"3","TO",3621,"2.7%"
"3","SP",3512,"2.6%"
"3","RO",3145,"2.4%"
"3","MT",2668,"2.0%"
"3","AC",1959,"1.5%"
"3","AP",1663,"1.2%"
"3","RJ",1595,"1.2%"
"3","MS",1295,"1.0%"
"3","RR",983,"0.7%"
"3","ES",803,"0.6%"
